,Selected Geographies,200000-Max,Negative Income,No Income,20001-40000,60001-80000,80001-120000,120001-160000,160001-200000,1-20000,400001-60000,year
5,"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",4.0,0,1.0,3,3,3,4,4.0,2,3,2019
6,"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",4.0,0,1.0,3,4,4,5,5.0,2,3,2019
7,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",3.0,0,2.0,3,3,3,4,4.0,2,2,2019
8,"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",3.0,0,1.0,2,2,3,3,3.0,2,2,2019
9,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",4.0,0,1.0,3,3,4,4,4.0,2,3,2019
10,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",3.0,0,1.0,2,3,3,3,3.0,2,2,2019
11,"Los Angeles County (East Central)--Pomona City PUMA, California",3.0,0,2.0,3,4,3,4,5.0,2,4,2019
12,"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",4.0,0,2.0,2,3,3,3,4.0,2,3,2019
13,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",3.0,0,2.0,2,3,3,3,3.0,2,3,2019
14,"Los Angeles County (East Central)--West Covina City PUMA, California",4.0,0,2.0,2,3,4,4,4.0,2,3,2019
15,"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",7.0,0,,3,4,4,4,5.0,2,4,2019
16,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",3.0,0,2.0,2,3,3,3,3.0,2,2,2019
17,"Los Angeles County (Central)--Pasadena City PUMA, California",3.0,0,2.0,2,2,2,3,3.0,2,2,2019
18,"Los Angeles County (Central)--Glendale City PUMA, California",3.0,0,1.0,2,3,3,3,3.0,2,2,2019
19,"Los Angeles County (Central)--Burbank City PUMA, California",3.0,0,1.0,2,2,3,3,3.0,1,2,2019
20,"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California",4.0,0,1.0,2,2,3,3,3.0,2,2,2019
21,"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California",3.0,0,1.0,2,3,3,3,3.0,2,3,2019
22,"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California",4.0,0,1.0,3,3,3,4,5.0,2,3,2019
23,"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California",3.0,0,1.0,2,3,3,3,3.0,2,2,2019
24,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California",3.0,0,2.0,2,3,3,3,3.0,2,2,2019
25,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA; California",3.0,0,1.0,2,2,2,3,3.0,2,2,2019
26,"Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA, California",3.0,0,1.0,2,2,2,2,2.0,1,2,2019
27,"Los Angeles County (Southwest)--Santa Monica City PUMA, California",2.0,0,1.0,2,2,2,2,2.0,1,2,2019
28,"Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA, California",3.0,0,1.0,2,2,2,2,2.0,2,2,2019
29,"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA, California",3.0,0,2.0,2,2,2,2,3.0,2,2,2019
30,"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California",2.0,0,1.0,1,2,2,2,2.0,1,2,2019
31,"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California",3.0,0,1.0,2,2,2,3,3.0,1,2,2019
32,"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California",3.0,0,2.0,2,3,3,3,2.0,2,2,2019
33,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California",3.0,0,2.0,2,2,3,3,3.0,2,2,2019
34,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California",3.0,0,1.0,2,3,3,3,3.0,2,2,2019
35,"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California",3.0,0,1.0,3,2,3,3,3.0,2,3,2019
36,"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California",4.0,0,2.0,3,4,3,4,4.0,2,3,2019
37,"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California",5.0,0,3.0,3,4,4,5,5.0,2,3,2019
38,"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California",4.0,0,2.0,3,3,3,4,3.0,1,3,2019
39,"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California",5.0,0,2.0,3,3,4,4,4.0,2,3,2019
40,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California",7.0,0,2.0,3,4,4,5,6.0,2,4,2019
41,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California",5.0,0,1.0,3,4,5,6,6.0,2,4,2019
42,"Los Angeles County (Central)--East Los Angeles PUMA, California",5.0,0,2.0,3,4,4,5,5.0,2,4,2019
43,"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California",2.0,0,2.0,3,3,3,2,2.0,2,3,2019
44,"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California",5.0,0,3.0,4,5,5,5,8.0,3,4,2019
45,"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California",5.0,0,2.0,3,3,4,4,4.0,2,4,2019
46,"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California",3.0,0,1.0,2,3,3,3,3.0,1,2,2019
47,"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California",3.0,0,2.0,2,2,2,2,2.0,1,2,2019
48,"Los Angeles County (Central)--Inglewood City PUMA, California",4.0,0,2.0,2,3,3,4,4.0,2,3,2019
49,"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California",4.0,0,1.0,3,3,4,4,6.0,2,3,2019
50,"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California",4.0,0,2.0,4,4,5,5,7.0,3,4,2019
51,"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California",5.0,0,1.0,3,4,5,6,5.0,2,4,2019
52,"Los Angeles County (South)--Downey City PUMA, California",4.0,0,,2,3,4,4,5.0,2,3,2019
53,"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California",4.0,0,1.0,3,3,4,3,4.0,2,3,2019
54,"Los Angeles County (Southeast)--Norwalk City PUMA, California",5.0,0,1.0,2,4,4,4,5.0,2,3,2019
55,"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California",4.0,0,1.0,3,4,4,4,4.0,2,3,2019
56,"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California",6.0,0,2.0,3,4,5,5,6.0,2,3,2019
57,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California",5.0,0,2.0,2,3,3,3,3.0,2,3,2019
58,"Los Angeles County (South Central)--Hawthorne City PUMA, California",5.0,0,1.0,3,3,3,3,4.0,2,3,2019
59,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California",3.0,0,1.0,1,2,2,2,3.0,1,2,2019
60,"Los Angeles County (South Central)--Torrance City PUMA, California",3.0,0,2.0,2,2,2,3,3.0,2,2,2019
61,"Los Angeles County (South Central)--Carson City PUMA, California",4.0,0,1.0,2,2,3,4,4.0,2,3,2019
62,"Los Angeles County (South Central)--Long Beach City (North) PUMA, California",3.0,0,2.0,2,3,4,4,3.0,2,3,2019
63,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California",3.0,0,3.0,3,3,3,4,4.0,2,2,2019
64,"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California",3.0,0,2.0,2,2,2,3,3.0,2,2,2019
65,"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California",3.0,0,2.0,2,3,3,3,4.0,2,3,2019
66,"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California",3.0,0,1.0,3,3,3,3,3.0,2,3,2019
67,"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California",3.0,0,1.0,2,2,2,3,3.0,2,2,2019
68,"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California",3.0,0,2.0,2,3,2,3,3.0,2,3,2019
0,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California",3.0,0,1.0,2,3,2,3,3.0,1,2,2019
1,"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California",3.0,0,2.0,2,2,3,3,3.0,1,2,2019
2,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California",3.0,0,1.0,2,2,2,2,2.0,1,2,2019
3,"Orange County (Central)--Irvine City (Central) PUMA, California",3.0,0,2.0,3,2,2,3,3.0,2,2,2019
4,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California",3.0,0,1.0,2,3,3,3,3.0,1,3,2019
5,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California",4.0,0,2.0,2,3,3,3,3.0,2,2,2019
6,"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California",3.0,0,1.0,3,3,3,3,3.0,2,3,2019
7,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California",4.0,0,1.0,2,3,3,3,4.0,2,2,2019
8,"Orange County (North Central)--Anaheim City (West) PUMA, California",5.0,0,2.0,2,3,3,4,4.0,2,3,2019
9,"Orange County (North Central)--Anaheim City (East) PUMA, California",4.0,0,2.0,3,3,3,3,4.0,2,3,2019
10,"Orange County (Central)--Orange & Villa Park Cities PUMA, California",3.0,0,1.0,3,3,3,3,3.0,2,3,2019
11,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California",4.0,0,2.0,3,3,3,4,4.0,2,3,2019
12,"Orange County (Northwest)--Garden Grove City (East) PUMA, California",5.0,0,2.0,3,3,4,4,4.0,2,3,2019
13,"Orange County (Northwest)--Huntington Beach City PUMA, California",3.0,0,1.0,2,2,3,3,3.0,2,2,2019
14,"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California",4.0,0,3.0,1,2,3,3,3.0,1,2,2019
15,"Orange County (Central)--Santa Ana City (West) PUMA, California",5.0,0,2.0,3,4,4,5,5.0,2,3,2019
16,"Orange County (Central)--Santa Ana City (East) PUMA, California",5.0,0,3.0,3,4,4,5,5.0,3,4,2019
17,"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California",3.0,0,2.0,2,3,3,3,3.0,2,2,2019
0,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California",3.0,0,2.0,2,3,3,4,3.0,2,2,2019
1,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California",2.0,0,2.0,2,2,3,2,2.0,1,2,2019
2,"Riverside County (Southwest)--Temecula City PUMA, California",4.0,0,2.0,2,3,3,3,3.0,2,2,2019
3,"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California",4.0,0,1.0,2,3,3,4,4.0,2,3,2019
4,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California",4.0,0,2.0,2,3,3,4,4.0,2,3,2019
5,"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California",5.0,0,2.0,3,3,4,3,4.0,2,3,2019
6,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California",4.0,0,4.0,2,3,3,4,3.0,2,3,2019
7,"Riverside County (Northwest)--Moreno Valley City PUMA, California",5.0,0,2.0,3,3,4,5,4.0,2,3,2019
8,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California",4.0,0,2.0,3,4,4,4,5.0,2,3,2019
9,"Riverside County (Northwest)--Riverside City (East) PUMA, California",3.0,0,1.0,3,3,3,4,3.0,1,3,2019
10,"Riverside County (Northwest)--Riverside City (West) PUMA, California",3.0,0,1.0,3,3,4,4,3.0,2,3,2019
11,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California",4.0,0,1.0,2,3,3,4,4.0,3,3,2019
12,"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California",4.0,0,1.0,3,3,3,4,4.0,2,3,2019
13,"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California",5.0,0,3.0,4,4,4,4,4.0,2,4,2019
14,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California",2.0,0,1.0,2,2,2,2,2.0,1,2,2019
